date,four_turbine_avg_power
2016-07-05,70.61597222222223
2016-07-06,316.2671875
2016-07-07,81.61111111111111
2016-07-08,51.57361111111111
2016-07-09,1087.9651041666666
2016-07-10,828.6932753196569
2016-07-11,302.0490065094683
2016-07-12,298.2526911618921
2016-07-13,172.72182720320467
2016-07-14,1335.0454771334062
2016-07-15,1082.8456895636077
2016-07-16,1269.5405200493649
2016-07-17,1053.577885257344
2016-07-18,764.1518824097677
2016-07-19,864.3949767844138
2016-07-20,276.50185369450776
2016-07-21,134.93385588558854
2016-07-22,159.36284722222223
2016-07-23,569.684548611111
2016-07-24,1517.7529513888887
2016-07-25,1383.9031249999998
2016-07-26,1023.6496527777776
2016-07-27,66.01180555555555
2016-07-28,279.2081597222222
2016-07-29,457.3274305555555
2016-07-30,72.71371527777778
2016-07-31,101.69427083333333
